🕘️更新时间,#genre#
2025-10-31 18:34:20,https://jzb.wwkejishe.top/?id=578$订阅源

📺央视频道,#genre#
CCTV-1,https://jzb.wwkejishe.top/?id=578$订阅源
CCTV-3,https://jzb.wwkejishe.top/?id=580$订阅源
CCTV-5,https://jzb.wwkejishe.top/?id=582$订阅源
CCTV-5+,https://jzb.wwkejishe.top/?id=583$订阅源
CCTV-6,https://jzb.wwkejishe.top/?id=584$订阅源
CCTV-8,https://jzb.wwkejishe.top/?id=586$订阅源
CCTV-9,https://jzb.wwkejishe.top/?id=587$订阅源
CCTV-10,https://jzb.wwkejishe.top/?id=588$订阅源
CCTV-11,https://jzb.wwkejishe.top/?id=589$订阅源
CCTV-12,https://jzb.wwkejishe.top/?id=590$订阅源
CCTV-13,https://event.pull.hebtv.com/jishi/cp1.m3u8$订阅源
CCTV-13,https://jzb.wwkejishe.top/?id=591$订阅源
CCTV-13,http://jwplay.hebyun.com.cn/live/cctv13/1500k/tzwj_video.m3u8$订阅源
CCTV-14,https://event.pull.hebtv.com/jishi/cp2.m3u8#rtsp://103.251.96.71/PLTV/88888888/224/3221225783/10000100000000060000000000726027_0.smil?icpid=SSPID&amp;accounttype=1&amp;limitflux=-1&amp;limitdur=-1&amp;accountinfo=:20240213104135$订阅源
CCTV-14,https://jzb.wwkejishe.top/?id=592$订阅源
CCTV-15,https://jzb.wwkejishe.top/?id=593$订阅源
CCTV-16,https://epg.pw/stream/c1beb2abcba5aef09c2f58efc3ca84b76de2c7b9cf60762b0d79772d9e70d454.m3u8$订阅源
CCTV-17,https://jzb.wwkejishe.top/?id=594$订阅源

📡卫视频道,#genre#
浙江卫视,http://l.cztvcloud.com/channels/lantian/SXpinghu3/720p.m3u8$订阅源
浙江卫视,http://ali-vl.cztv.com/channels/lantian/channel001/360p.m3u8$订阅源
北京卫视,https://jzb.wwkejishe.top/?id=608$订阅源
湖北卫视,https://jzb.wwkejishe.top/?id=604$订阅源
黑龙江卫视,http://l.cztvcloud.com/channels/lantian/SXyuyao3/720p.m3u8$订阅源
黑龙江卫视,https://epg.pw/stream/c6c1262d0b35e59eac22bf513395f00f8b60cc5eab41f598412cdf8269312f32.m3u8$订阅源
安徽卫视,https://jzb.wwkejishe.top/?id=612$订阅源
重庆卫视,https://jzb.wwkejishe.top/?id=607$订阅源
东方卫视,https://jzb.wwkejishe.top/?id=597$订阅源
东方卫视,https://epg.pw/stream/6aec3ea636542c53729b5c9dd290864ab04d4a69d2b9cb7864a9898779915898.m3u8$订阅源
东南卫视,http://live.zohi.tv/video/s10001-fztv-3/index.m3u8$订阅源
甘肃卫视,http://live.zohi.tv/video/s10001-fztv-3/index.m3u8$订阅源
甘肃卫视,https://jzb.wwkejishe.top/?id=622$订阅源
广西卫视,https://hlscdn.liangtv.cn/live/de0f97348eb84f62aa6b7d8cf0430770/dd505d87880c478f901f38560ca4d4e6.m3u8$订阅源
贵州卫视,https://jzb.wwkejishe.top/?id=619$订阅源
海南卫视,https://jzb.wwkejishe.top/?id=600$订阅源
河北卫视,https://jzb.wwkejishe.top/?id=615$订阅源
河北卫视,https://jwplay.hebyun.com.cn/live/hbwstv/1500k/tzwj_video.m3u8$订阅源
河南卫视,https://jzb.wwkejishe.top/?id=616$订阅源
吉林卫视,https://jzb.wwkejishe.top/?id=601$订阅源
青海卫视,https://jzb.wwkejishe.top/?id=605$订阅源
山东卫视,http://l.cztvcloud.com/channels/lantian/SXshengzhou1/720p.m3u8$订阅源
山西卫视,http://cc02.tv12.xyz/8.m3u8$订阅源
山西卫视,https://jzb.wwkejishe.top/?id=624$订阅源
陕西卫视,https://jzb.wwkejishe.top/?id=603$订阅源
四川卫视,https://jzb.wwkejishe.top/?id=610$订阅源
天津卫视,https://jzb.wwkejishe.top/?id=611$订阅源
西藏卫视,http://cc02.tv12.xyz/9.m3u8$订阅源
新疆卫视,http://cc02.tv12.xyz/10.m3u8$订阅源
新疆卫视,https://jzb.wwkejishe.top/?id=623$订阅源
